Chapter,Question
Chapter 5,1. // ex5_1.cpp // function finds area of circle#include <iostream>using namespace std;float circarea(float radius); int main() { double rad;cout << “\nEnter radius of circle: “;cin >> rad;cout << “Area is “ << circarea(rad) << endl;return 0;} //--------------------------------------------------------------float circarea(float r) {const float PI = 3.14159F;return r * r * PI;}
Chapter 5,"2. // ex5_2.cpp// function raises number to a power#include <iostream>using namespace std;double power( double n, int p=2); //p has default value 2Answers to Questions and Exercises GANSWERS TO QUESTIONS AND EXERCISES92524 3087 App G 11/29/01 2:22 PM Page 925 int main() { double number, answer;int pow;char yeserno; cout << “\nEnter number: “; //get number cin >> number;cout << “Want to enter a power (y/n)? “;cin >> yeserno;if( yeserno == ‘y’ ) //user wants a non-2 power? {cout << “Enter power: “;cin >> pow;answer = power(number, pow); //raise number to pow} else answer = power(number); //square the number cout << “Answer is “ << answer << endl;return 0;} //--------------------------------------------------------------// power()// returns number n raised to a power pdouble power( double n, int p ) {double result = 1.0; //start with 1for(int j=0; j<p; j++) //multiply by n result *= n; //p times return result;}"
Chapter 5,"3. // ex5_3.cpp// function sets smaller of two numbers to 0#include <iostream>using namespace std; int main() { void zeroSmaller(int&, int&);int a=4, b=7, c=11, d=9; zeroSmaller(a, b); zeroSmaller(c, d);"
Chapter 6,1. A class declaration describes how objects of a class will look when they are created.
Chapter 6,"2. class, object3. c4. class leverage { private: int crowbar; public: void pry(); };"
Chapter 6,5. false; both data and functions can be private or public
Chapter 6,7. d8. lever1.pry();
Chapter 6,"1. // ex6_1.cpp // uses a class to model an integer data type#include <iostream>using namespace std;////////////////////////////////////////////////////////////////class Int //(not the same as int) {private: int i; public: Int() //create an Int { i = 0; }Answers to Questions and Exercises GANSWERS TO QUESTIONS AND EXERCISES92924 3087 App G 11/29/01 2:22 PM Page 929 Int(int ii) //create and initialize an Int { i = ii; } void add(Int i2, Int i3) //add two Ints { i = i2.i + i3.i; } void display() //display an Int { cout << i; } }; //////////////////////////////////////////////////////////////// int main() {Int Int1(7); //create and initialize an IntInt Int2(11); //create and initialize an IntInt Int3; //create an Int Int3.add(Int1, Int2); //add two Ints cout << “\nInt3 = “; Int3.display(); //display resultcout << endl;return 0;}"
Chapter 6,"2. // ex6_2.cpp// uses class to model toll booth#include <iostream>using namespace std;#include <conio.h> const char ESC = 27; //escape key ASCII code const double TOLL = 0.5; //toll is 50 cents////////////////////////////////////////////////////////////////class tollBooth {private: unsigned int totalCars; //total cars passed todaydouble totalCash; //total money collected today public: //constructor tollBooth() : totalCars(0), totalCash(0.0) { } void payingCar() //a car paid { totalCars++; totalCash += TOLL; } void nopayCar() //a car didn’t pay { totalCars++; } void display() const //display totals { cout << “\nCars=” << totalCars << “, cash=” << totalCash<< endl; } };"
Chapter 7,1. d
Chapter 7,2. same3. double doubleArray[100];
Chapter 7,"4. 0, 95. cout << doubleArray[j];"
Chapter 7,"6. c7. int coins[] = { 1, 5, 10, 25, 50, 100 };"
Chapter 7,8. d9. twoD[2][4]
Chapter 7,"10. true11. float flarr[3][3] = { {52,27,83}, {94,73,49}, {3,6,1} };"
Chapter 7,"12. memory address13. a, d14. an array with 1000 elements of structure or class employee"
Chapter 7,16. d
Chapter 7,"1. // ex7_1.cpp // reverses a C-string#include <iostream>#include <cstring> //for strlen()using namespace std; int main() { void reversit( char[] ); //prototypeconst int MAX = 80; //array sizechar str[MAX]; //string cout << “\nEnter a string: “; //get string from user cin.get(str, MAX);Answers to Questions and Exercises GANSWERS TO QUESTIONS AND EXERCISES93324 3087 App G 11/29/01 2:22 PM Page 933 reversit(str); //reverse the string cout << “Reversed string is: “; //display it cout << str << endl;return 0;} //--------------------------------------------------------------//reversit()//function to reverse a string passed to it as an argumentvoid reversit( char s[] ) {int len = strlen(s); //find length of stringfor(int j = 0; j < len/2; j++) //swap each character { // in first halfchar temp = s[j]; // with characters[j] = s[len-j-1]; // in second halfs[len-j-1] = temp;} } // reversit()// function to reverse a string passed to it as an argumentvoid reversit( char s[] ) {int len = strlen(s); // find length of stringfor(int j = 0; j < len/2; j++) // swap each character { // in first halfchar temp = s[j]; // with characters[j] = s[len-j-1]; // in second halfs[len-j-1] = temp;} }"
Chapter 7,2. // ex7_2.cpp// employee object uses a string as data#include <iostream>#include <string>using namespace std;////////////////////////////////////////////////////////////////class employee {private: string name;long number;
Chapter 8,"1. a, c"
Chapter 8,4. true5. void operator -- () { count--; }
Chapter 8,"6. none7. b, d8. void Distance::operator ++ () { ++feet;}"
Chapter 8,"9. Distance Distance::operator ++ () {int f = ++feet;float i = inches;return Distance(f, i);}Answers to Questions and Exercises GANSWERS TO QUESTIONS AND EXERCISES93724 3087 App G 11/29/01 2:22 PM Page 937"
Chapter 8,"10. It increments the variable prior to use, the same as a non-overloaded ++operator."
Chapter 8,"11. c, e, b, a, d12. true13. b, c14. String String::operator ++ () { int len = strlen(str);for(int j=0; j<len; j++) str[j] = toupper( str[j] ) return String(str);}"
Chapter 8,15. d
Chapter 8,16. false if there is a conversion routine; true otherwise17. b18. true
Chapter 8,19. constructor
Chapter 8,"20. true, but it will be hard for humans to understand21. d22. attributes, operations23. false24. a Solutions to Exercises"
Chapter 8,"1. // ex8_1.cpp // overloaded ‘-’ operator subtracts two Distances#include <iostream>using namespace std;////////////////////////////////////////////////////////////////class Distance //English Distance class {private: int feet;float inches; public: //constructor (no args) Distance() : feet(0), inches(0.0) { } //constructor (two args)"
Chapter 8,"2. // ex8_2.cpp// overloaded ‘+=’ operator concatenates strings#include <iostream>#include <cstring> //for strcpy(), strlen()using namespace std;#include <process.h> //for exit()////////////////////////////////////////////////////////////////class String //user-defined string type {private: enum { SZ = 80 }; //size of String objectschar str[SZ]; //holds a C-string public: String() //no-arg constructor { strcpy(str, “”); } String( char s[] ) //1-arg constructor { strcpy(str, s); } void display() //display the String { cout << str; } String operator += (String ss) //add a String to this one { //result stays in this oneif( strlen(str) + strlen(ss.str) >= SZ ) { cout << “\nString overflow”; exit(1); } strcat(str, ss.str); //add the argument stringreturn String(str); //return temp String} }; ////////////////////////////////////////////////////////////////int main() {String s1 = “Merry Christmas! “; //uses 1-arg ctorString s2 = “Happy new year!”; //uses 1-arg ctorString s3; //uses no-arg ctor"
Chapter 8,4. // ex8_4.cpp// overloaded arithmetic operators work with type Int#include <iostream>using namespace std;#include <process.h> //for exit()////////////////////////////////////////////////////////////////class Int {private: int i; public: Int() : i(0) //no-arg constructor { } Int(int ii) : i(ii) //1-arg constructor { } // (int to Int) void putInt() //display Int { cout << i; } void getInt() //read Int from kbd { cin >> i; } operator int() //conversion operator { return i; } // (Int to int) Int operator + (Int i2) //addition { return checkit( long double(i)+long double(i2) ); } Int operator - (Int i2) //subtraction { return checkit( long double(i)-long double(i2) ); } Int operator * (Int i2) //multiplication { return checkit( long double(i)*long double(i2) ); } Int operator / (Int i2) //division { return checkit( long double(i)/long double(i2) ); } Int checkit(long double answer) //check results {if( answer > 2147483647.0L || answer < -2147483647.0L ) { cout << “\nOverflow Error\n”; exit(1); } return Int( int(answer) );} }; ////////////////////////////////////////////////////////////////int main() {
Chapter 9,"1. a, c"
Chapter 9,"2. derived3. b, c, d4. class Bosworth : public Alphonso"
Chapter 9,5. false6. protected
Chapter 9,7. yes (assuming basefunc is not private)
Chapter 9,9. true
Chapter 9,10. the one in the derived class11. Bosworth() : Alphonso() { }
Chapter 9,"12. c, d13. true14. Derv(int arg) : Base(arg)Answers to Questions and Exercises GANSWERS TO QUESTIONS AND EXERCISES94324 3087 App G 11/29/01 2:22 PM Page 943"
Chapter 9,15. a
Chapter 9,"16. true17. c18. class Tire : public Wheel, public Rubber"
Chapter 9,20. false21. generalization
Chapter 9,22. d
Chapter 9,"23. false24. stronger, aggregation Solutions to Exercises"
Chapter 9,1. // ex9_1.cpp // publication class and derived classes#include <iostream>#include <string>using namespace std;////////////////////////////////////////////////////////////////class publication // base class {private: string title;float price; public: void getdata() {cout << “\nEnter title: “; cin >> title;cout << “Enter price: “; cin >> price;} void putdata() const {cout << “\nTitle: “ << title;cout << “\nPrice: “ << price;} }; ////////////////////////////////////////////////////////////////class book : private publication // derived class {private: int pages;
Chapter 10,2. 4 bytes
Chapter 10,"3. c4. &var ,*var ,var& ,char*"
Chapter 10,5. constant; variable6. float* ptrtofloat ;
Chapter 10,7. name8. *testptr
Chapter 10,9. pointer to; contents of the variable pointed to by
Chapter 10,"10. b, c, d11. No. The address &intvar must be placed in the pointer intptr before it can be accessed."
Chapter 10,12. any data type13. They both do the same thing.14. for(int j=0; j<77; j++) cout << endl << *(intarr+j);
Chapter 10,"15. because array names represent the address of the array, which is a constant and can’t be changed"
Chapter 10,16. reference; pointerAnswers to Questions and Exercises GANSWERS TO QUESTIONS AND EXERCISES94924 3087 App G 11/29/01 2:22 PM Page 949
Chapter 10,"17. a, d"
Chapter 10,19. for(int j=0; j<80; j++) *s2++ = *s1++;
Chapter 10,20. b21. char* revstr(char*);
Chapter 10,"23. a, c24. wasted25. memory that is no longer needed26. p->exclu();"
Chapter 10,"28. a, c29. float* arr[8];"
Chapter 10,30. b31. 0..9 at one end; 3..* at the other32. b33. false34. a Solutions to Exercises
Chapter 10,1. // ex10_1.cpp // finds average of numbers typed by user#include <iostream>using namespace std; int main() { float flarr[100]; //array for numberschar ch; //user decisionint num = 0; //counts numbers inputdo {
Chapter 10,"3. // ex10_3.cpp// sort an array of pointers to strings#include <iostream>#include <cstring> //for strcmp(), etc.using namespace std;const int DAYS = 7; //number of pointers in array int main() { void bsort(char**, int); //prototype //array of pointers to char char* arrptrs[DAYS] = { “Sunday”, “Monday”, “Tuesday”, “Wednesday”, “Thursday”,“Friday”, “Saturday” }; cout << “\nUnsorted:\n”;for(int j=0; j<DAYS; j++) //display unsorted strings cout << *(arrptrs+j) << endl; bsort(arrptrs, DAYS); //sort the strings cout << “\nSorted:\n”; for(j=0; j<DAYS; j++) //display sorted strings cout << *(arrptrs+j) << endl; return 0;} //--------------------------------------------------------------void bsort(char** pp, int n) //sort pointers to strings {"
Chapter 11,1. d
Chapter 11,2. true
Chapter 11,1. // ex11_1.cpp // publication class and derived classes#include <iostream>#include <string>using namespace std;////////////////////////////////////////////////////////////////class publication {private: string title;float price; public: virtual void getdata() {cout << “\nEnter title: “; cin >> title;cout << “Enter price: “; cin >> price;} virtual void putdata() {cout << “\n\nTitle: “ << title;cout << “\nPrice: “ << price;} }; ////////////////////////////////////////////////////////////////class book : public publication {private: int pages; public: void getdata() {publication::getdata();cout << “Enter number of pages: “; cin >> pages;} void putdata() {publication::putdata();cout << “\nPages: “ << pages;} }; ////////////////////////////////////////////////////////////////class tape : public publication {
Chapter 12,"1. b, c"
Chapter 12,5. true6. if(foobar)
Chapter 12,7. d8. fileOut.put(ch); (where ch is the character)
Chapter 12,9. c
Chapter 12,"11. a, b, d12. the byte location at which the next read or write operation will take place13. false; file pointer can be a synonym for current position14. f1.seekg(-13, ios::cur);"
Chapter 12,"1. // ex12_1.cpp // write array#include <iostream>#include <fstream> // for file streamsusing namespace std;////////////////////////////////////////////////////////////////class Distance // English Distance class {private: int feet;float inches; public: Distance() : feet(0), inches(0.0) // constructor (no args) { } // constructor (two args) Distance(int ft, float in) : feet(ft), inches(in) { } void getdist() // get length from user {cout << “\n Enter feet: “; cin >> feet;cout << “ Enter inches: “; cin >> inches;} void showdist() // display distance { cout << feet << “\’-” << inches << ‘\”’; } }; ////////////////////////////////////////////////////////////////int main() {char ch;Distance dist; // create a Distance objectfstream file; // create input/output file // open it for append file.open(“DIST.DAT”, ios::binary | ios::app | ios::out | ios::in );Answers to Questions and Exercises GANSWERS TO QUESTIONS AND EXERCISES96124 3087 App G 11/29/01 2:22 PM Page 961 do // data from user to file { cout << “\nDistance”;dist.getdist(); // get a distance // write to file file.write( (char*)&dist, sizeof(dist) );cout << “Enter another distance (y/n)? “;cin >> ch;} while(ch==’y’); // quit on ‘n’ file.seekg(0); // reset to start of file // read first distance file.read( (char*)&dist, sizeof(dist) ); int count = 0;while( !file.eof() ) // quit on EOF {cout << “\nDistance “ << ++count << “: “; // display distdist.showdist();file.read( (char*)&dist, sizeof(dist) ); // read another} // distance cout << endl;return 0;}"
Chapter 12,"2. // ex12_2.cpp// imitates COPY command#include <fstream> //for file functions#include <iostream>using namespace std;#include <process.h> //for exit() int main(int argc, char* argv[] ) { if( argc != 3 ) { cerr << “\nFormat: ocopy srcfile destfile”; exit(-1); } char ch; //character to read ifstream infile; //create file for input infile.open( argv[1] ); //open fileif( !infile ) //check for errors { cerr << “\nCan’t open “ << argv[1]; exit(-1); } ofstream outfile; //create file for outputoutfile.open( argv[2] ); //open file"
Chapter 13,"1. a, b, c, d"
Chapter 13,3. the compiler to compile the . CPPfile and the linker to link the resulting . OBJfiles
Chapter 13,"4. a, b5. class libraryAnswers to Questions and Exercises GANSWERS TO QUESTIONS AND EXERCISES96324 3087 App G 11/29/01 2:22 PM Page 963"
Chapter 13,6. true
Chapter 13,"7. c, d8. true9. false"
Chapter 13,"10. a, c, d11. linking12. false13. d14. scope15. object16. declared, file B17. true18. b19. false20. d21. b22. namespace22. b, d"
Chapter 14,1. b and c2. class3. false; different functions are created at compile time4. template<class T> T times2(T arg) {return arg*2;}
Chapter 14,5. b
Chapter 14,6. true
Chapter 14,7. instantiating
Chapter 14,"1. // ex14_1.cpp // template used for function that averages array#include <iostream>using namespace std;Answers to Questions and Exercises GANSWERS TO QUESTIONS AND EXERCISES96524 3087 App G 11/29/01 2:22 PM Page 965 //////////////////////////////////////////////////////////////// template <class atype> //function templateatype avg(atype* array, int size) {atype total = 0;for(int j=0; j<size; j++) //average the array total += array[j]; return (atype)total/size;} ////////////////////////////////////////////////////////////////int intArray[] = {1, 3, 5, 9, 11, 13};long longArray[] = {1, 3, 5, 9, 11, 13};double doubleArray[] = {1.0, 3.0, 5.0, 9.0, 11.0, 13.0};char charArray[] = {1, 3, 5, 9, 11, 13}; int main() { cout << “\navg(intArray)=” << avg(intArray, 6);cout << “\navg(longArray)=” << avg(longArray, 6);cout << “\navg(doubleArray)=” << avg(doubleArray, 6);cout << “\navg(charArray)=” << (int)avg(charArray, 6) << endl;return 0;}"
Chapter 14,2. // ex14_2.cpp// implements queue class as a template#include <iostream>using namespace std;const int MAX = 3;////////////////////////////////////////////////////////////////template <class Type>class Queue {private: Type qu[MAX]; //array of any typeint head; //index of start of queue (remove item here)int tail; //index of end of queue (insert item here) public: Queue() //constructor { head = -1; tail = -1; } void put(Type var) //insert item at queue tail {qu[++tail] = var;if(tail >=MAX-1) //wrap around if past array end tail = -1;
Chapter 15,"1. a, b, d"
Chapter 15,"2. vector, list, deque3. set, map4. a5. true6. c7. false8. iterator9. a function object"
Chapter 15,"10. c11. false; it simply returns its value12. 3, 11Answers to Questions and Exercises GANSWERS TO QUESTIONS AND EXERCISES96924 3087 App G 11/29/01 2:22 PM Page 969"
Chapter 15,13. duplicate
Chapter 15,"14. b, c15. points to16. false17. bidirectional18. *iter++"
Chapter 15,"19. d20. c21. true22. iterators23. it’s a string used to separate the printed values24. b25. the elements will be ordered26. true27. pairs (or associations)28. false29. a, d30. constructor Solutions to Exercises"
Chapter 15,"1. // ex15_1.cpp // type float stored in array, sorted by sort()#include <iostream>#include <algorithm>using namespace std; int main() { int j=0, k;char ch;float fpn, farr[100]; do { cout << “Enter a floating point number: “; cin >> fpn;farr[j++] = fpn;"
Chapter 15,4. // ex15_4.cpp// a multiset automatically sorts person objects stored by pointer#include <iostream>#include <set>#pragma warning (disable:4786)#include <string>using namespace std; class person {
Chapter 16,1. false
Chapter 16,"2. c, d3. task4. true5. columns6. a, c"
